customer_unique_id,frequency,repeater,fo_order_id,fo_customer_id,fo_order_status,fo_order_purchase_timestamp,fo_order_approved_at,fo_order_delivered_carrier_date,fo_order_delivered_customer_date,fo_order_estimated_delivery_date,customer_zip_code_prefix,customer_city,customer_state,recency,monetary,rfm_score,fo_payment_value,fo_is_daytime,fo_is_weekday,fo_delivery_delay_days,fo_review_score_mean,fo_voucher_payment_value,fo_voucher_used,fo_product_category_name,customer_in_sao_paulo
2964dcd7e8060025ce0a4a1d7a97fe27,1,0,fa807b443e46df35d40fa3e40349057a,d7ff70ab374c804ebca0bd85bc528a92,delivered,2017-10-06 11:03:53,2017-10-06 11:14:20,2017-10-10 15:06:42,2017-10-24 22:32:40,2017-11-03,75115,anapolis,GO,376,403.81,2,403.81,1,1,-10.0,4.0,0.0,1,health_beauty,0
9cf7324fd017fe2411c1633eb6cfb38d,1,0,0deba00189593870535a63ad3e6d9ab9,c255713385e828168bbe09b0ef8daac6,delivered,2017-10-30 21:01:41,2017-10-30 22:31:36,2017-10-31 21:59:45,2017-11-17 19:46:38,2017-11-17,96400,bage,RS,351,95.11,1,95.11,1,1,0.0,4.0,0.0,1,computers_accessories,0
9082dcf13bb5feb0e686d709eb35d02c,1,0,8f505b97d690e877f34131b13f828667,8f05d87aab36238f3b226c49a39e83ae,delivered,2017-11-14 19:11:32,2017-11-17 04:15:34,2017-11-20 18:55:05,2017-11-26 19:25:24,2017-12-08,26435,japeri,RJ,336,75.42,1,75.42,1,1,-12.0,4.0,0.0,1,flowers,0
a081984f46d03c9d2f878109275c1e09,1,0,aa60297f355f74c9f4ced617a6868fcc,8ad1cdb6a9dfaecd0a564c7bdfc49a91,delivered,2017-06-27 16:29:50,2017-06-28 02:25:12,2017-06-28 14:35:58,2017-07-07 17:21:16,2017-07-19,37476,cristina,MG,477,148.06,1,148.06,1,1,-12.0,3.0,0.0,1,toys,0
9b05e01ea14c37ec8ec1e8ff17b5e37f,1,0,89ad3e3edbff23042463f6b6adc8eead,afd69f75ba9d687b7fdea79ab3ccbbb5,delivered,2018-02-07 16:32:15,2018-02-07 16:49:34,2018-02-09 23:33:47,2018-02-14 22:32:18,2018-02-23,6780,taboao da serra,SP,252,58.62,0,58.62,1,1,-9.0,3.0,0.0,1,sports_leisure,1
61c8ed3d93acd67d5994491208fea2dc,1,0,19938b0f4dd0796e7c2d07f8a406add7,752103f8ede569f37f10eed1061e8920,delivered,2017-02-13 16:15:18,2017-02-13 16:25:09,2017-02-14 10:52:51,2017-02-20 12:41:22,2017-03-14,83260,matinhos,PR,611,64.42,1,64.42,1,1,-22.0,5.0,0.0,1,pet_shop,0
6a3dabac1e1385555cd423ea8fef12c9,1,0,abd7d619de0d42df3a64707190c05bb6,1f72dd32d17ef87a76bb334c45094010,delivered,2018-07-07 09:21:43,2018-07-07 14:05:47,2018-07-27 11:03:00,2018-08-03 16:46:39,2018-08-13,25561,sao joao de meriti,RJ,102,403.8,2,403.8,1,0,-10.0,5.0,0.0,1,office_furniture,0
c00c3c4e673ee04fa2bdcb0b090aec70,1,0,726050586b99cf152bd2d7ea5065b7dc,d6ac765eb88dac1e9afcc6fae60c5e1d,delivered,2018-04-28 10:07:38,2018-04-28 10:29:35,2018-05-02 14:36:00,2018-05-08 20:24:54,2018-05-28,37950,sao sebastiao do paraiso,MG,172,50.96,0,50.96,1,0,-20.0,5.0,0.0,1,bed_bath_table,0
1bf8dd3ba1288d5dc05d4e9f6557ed15,1,0,4ed44a3f31464867648d26ef5ddb9826,67a62a16e3ad15ffc36f2c37147bde63,delivered,2017-07-24 21:41:53,2017-07-24 21:55:19,2017-07-28 14:49:55,2017-08-01 16:35:45,2017-08-15,5756,sao paulo,SP,449,175.64,1,175.64,1,1,-14.0,4.0,0.0,1,watches_gifts,1
d3b29394945eb5410d1b8d132d17b1f2,1,0,b67babff39aeeae3f39e5575b7886f32,dc8e6ccac31532ee49da91a604124a76,delivered,2017-07-30 11:24:01,2017-07-30 11:43:20,2017-08-01 20:36:06,2017-08-08 19:43:47,2017-08-28,28909,cabo frio,RJ,444,82.7,1,82.7,1,0,-20.0,5.0,50.0,1,baby,0
830f8a8e81416d6fa0a1d297bd8bb1b5,1,0,be2833555cf50be44d494f1fb8c95ec3,9c3d64bd3fa02950338d3e23e3327bb0,delivered,2017-07-17 22:29:36,2017-07-17 22:43:23,2017-07-19 16:47:34,2017-07-21 15:42:34,2017-08-02,7081,guarulhos,SP,456,27.77,1,27.77,1,1,-12.0,5.0,0.0,1,health_beauty,1
5895fc39fdbecc7f650ad561eb1f877d,1,0,502f9fab8b6ef318e23a5700a237ef1b,514c03e2461d472afce7f786187178de,delivered,2018-04-08 11:23:06,2018-04-08 11:49:55,2018-04-09 20:04:20,2018-04-13 22:22:25,2018-05-02,34000,nova lima,MG,192,94.43,0,94.43,1,0,-19.0,5.0,0.0,1,bed_bath_table,0
387a2c73644bd2b3b3e919bc4b4baee4,1,0,74d91d0ed661cdf6683637341c196645,73126bea0883827ebbbabe078fc513bb,delivered,2018-07-16 15:53:49,2018-07-16 16:10:23,2018-07-17 14:31:00,2018-08-04 13:48:24,2018-08-06,57051,maceio,AL,93,42.76,0,42.76,1,1,-2.0,5.0,0.0,1,toys,0
9b1635f25fbf04a04231d707fc61b38b,1,0,29e6f39d57976e61801fbb8f266f30e6,1fe7ee22f6ae1b8dff6b6c83eaf1cd54,delivered,2017-12-11 17:06:20,2017-12-11 17:14:27,2017-12-13 15:38:09,2018-01-10 18:28:16,2018-01-11,29785,vila valerio,ES,310,238.69,1,238.69,1,1,-1.0,5.0,0.0,1,watches_gifts,0
d76d40f04f11ebc8fc62ca0230959e8d,1,0,3ed44f394dcafefbeb7377f0450ba269,7fddcb57b072d265db33f4c805bbfbc2,delivered,2017-05-16 17:21:14,2017-05-17 04:05:25,2017-05-18 08:14:47,2017-05-24 08:03:55,2017-06-07,3142,sao paulo,SP,519,44.6,1,44.6,1,1,-14.0,5.0,0.0,1,sports_leisure,1
3a41ac64aa715256d81e129f02b451bf,2,1,108f58a6439933a88e7950ee7b46ec11,13bbb5ef6f8db9469c6bbc69d9542872,delivered,2018-05-10 09:39:51,2018-05-10 09:52:11,2018-05-10 15:13:00,2018-05-16 20:27:02,2018-06-04,11702,praia grande,SP,96,108.38,0,54.13,1,1,-19.0,5.0,0.0,1,health_beauty,1
ff38610e865f6ffec5b6fb8725be1f7d,1,0,e7f30a3abdc763c660d1dc442dce909f,981dc5e9b0855c9d17f0819bb3c4f27e,delivered,2018-05-04 11:28:12,2018-05-04 11:51:42,2018-05-07 12:55:00,2018-05-11 00:27:48,2018-05-30,13385,nova odessa,SP,166,133.1,0,133.1,1,1,-19.0,4.0,0.0,1,perfumery,1
7000ba8464b01158048ff60510bc5c57,1,0,242ae20c1813b0ad28b3b7b7597ea721,6feec19ac422bb1f5fcb89ee26922aaa,delivered,2018-01-22 11:29:42,2018-01-22 14:53:30,2018-01-23 23:52:14,2018-02-15 17:23:33,2018-02-16,27936,macae,RJ,268,568.3,2,568.3,1,1,-1.0,4.0,0.0,1,costruction_tools_garden,0
