customer_unique_id,frequency,repeater,fo_order_id,fo_customer_id,fo_order_status,fo_order_purchase_timestamp,fo_order_approved_at,fo_order_delivered_carrier_date,fo_order_delivered_customer_date,fo_order_estimated_delivery_date,customer_zip_code_prefix,customer_city,customer_state,recency,monetary,rfm_score,fo_payment_value,fo_is_daytime,fo_is_weekday,fo_delivery_delay_days,fo_review_score_mean,fo_voucher_payment_value,fo_voucher_used,fo_product_category_name,customer_in_sao_paulo,cluster
000e309254ab1fc5ba99dd469d36bdb4,1,0,c5d3fae065a8090bae39f4f34b14cd06,8866a052aebe7f7cee97bace65b379b2,delivered,2018-06-25 09:53:57,2018-06-25 10:14:04,2018-07-03 14:40:00,2018-07-09 23:04:31,2018-07-24,72872,valparaiso de goias,GO,114,78.42,0,78.42,1,1,-15.0,3.0,69.89,1,fashion_underwear_beach,0,2.0
0028a7d8db7b0247652509358ad8d755,1,0,75e6b640cd630f2a1b0250fadc68da12,57063b7216d8c3380b2aff7a02ec17b8,delivered,2017-12-13 15:49:39,2017-12-13 15:56:29,2017-12-15 21:23:27,2018-01-05 18:53:26,2018-01-11,13273,valinhos,SP,308,354.87,1,354.87,1,1,-6.0,3.0,293.54,1,office_furniture,1,2.0
0068bd2e9e76c018846dbc6e2bec5ac5,1,0,7282809524b9b429bb37460b46596293,7321990745cede1147b728cd2726d9eb,delivered,2018-06-26 12:20:15,2018-06-27 12:15:29,2018-06-28 11:23:00,2018-07-03 22:04:15,2018-07-24,3904,sao paulo,SP,113,79.51,0,79.51,1,1,-21.0,5.0,79.51,1,bed_bath_table,1,2.0
00a9fd000ff87bb48b989df819c418f5,1,0,7290f24ffc8f84166426d8727c15af13,46958fedfb3f81f4de25433dd2d44eca,delivered,2018-03-20 07:08:27,2018-03-20 07:27:36,2018-03-21 18:43:41,2018-03-26 14:10:40,2018-04-30,20551,rio de janeiro,RJ,211,259.4,0,259.4,0,1,-35.0,5.0,256.41,1,cool_stuff,0,2.0
00b309d0151d92709de70e43d662711b,1,0,4c4ac3e2dfb16b17d057cf101265b24c,6fbe4775f3b882bef0f10d86a55ca4ae,delivered,2017-10-11 11:38:12,2017-10-11 11:56:09,2017-10-11 21:29:56,2017-10-23 19:43:58,2017-10-31,23595,rio de janeiro,RJ,371,107.78,1,107.78,1,1,-8.0,4.0,107.78,1,bed_bath_table,0,2.0
00d8ba74be3eee415fe4508fdd325ee5,1,0,fc6f84b0e39444f7c25d54107317faca,054c3d6634ff610c71c882d6f157bb34,delivered,2018-01-31 15:46:03,2018-01-31 15:55:46,2018-02-02 01:23:48,2018-02-07 21:36:43,2018-02-16,13210,jundiai,SP,259,372.69,2,372.69,1,1,-9.0,5.0,372.69,1,kitchen_dining_laundry_garden_furniture,1,2.0
00ec6ce865af3a65e9cca32b180e5d20,1,0,bc22fea220f805df6f4e021a709e668d,68bf428bd03e9aef02dfbe4e8b437c60,delivered,2018-03-09 17:34:51,2018-03-10 18:08:26,2018-03-14 01:48:40,2018-03-27 01:32:17,2018-04-02,41600,salvador,BA,221,186.96,0,186.96,1,1,-6.0,3.0,186.96,1,housewares,0,2.0
01027e860e6fb9591599d94a4189e2ad,1,0,758c123811f3da2280246ba25f4938d1,90846c8af61d95ef1e68494b650d0bd7,delivered,2018-05-22 19:45:14,2018-05-23 19:55:21,2018-05-24 14:33:00,2018-06-06 19:18:55,2018-06-19,13206,jundiai,SP,147,114.52,0,114.52,1,1,-13.0,5.0,100.0,1,bed_bath_table,1,2.0
0139d2cb6ca3b630b5833d49634d328e,1,0,cace1a92b9984790083116a9f2e7ae5c,49c3a1a50b8142d5b884209cf0db476e,delivered,2017-11-16 13:50:41,2017-11-16 14:08:17,2017-11-17 18:42:53,2017-11-20 20:10:04,2017-11-29,30510,belo horizonte,MG,335,133.96,1,133.96,1,1,-9.0,5.0,100.0,1,pet_shop,0,2.0
014dc284927e986549bf255eb79eb3ab,1,0,7e0887f9493193dc6b5b76f352088c90,64070c5f2b01790e6eb66086e9cc852a,delivered,2017-12-28 21:35:44,2017-12-28 21:47:45,2017-12-29 22:38:51,2018-01-03 12:05:14,2018-01-17,32340,contagem,MG,292,138.39,0,138.39,1,1,-14.0,5.0,79.9,1,fashion_bags_accessories,0,2.0
